Begin Bates num from PRODUCTION,End Bates num from PRODUCTION,Tag: RFP 01,Tag: RFP 02,Tag: RFP 03,Tag: RFP 04,Tag: RFP 05,Tag: RFP 06,Tag: RFP 07,Tag: RFP 08,Tag: RFP 09,Tag: RFP 10,Tag: RFP 11,Tag: RFP 12,Tag: RFP 13,Tag: RFP 14,Tag: RFP 15,Tag: RFP 16,Tag: RFP 17,Tag: RFP 18,Tag: RFP 19,Tag: RFP 20,Tag: RFP 21,Tag: RFP 22,Tag: RFP 23,Tag: RFP 24,Tag: RFP 25,Tag: RFP 26,Tag: RFP 27,Tag: RFP 28,Tag: RFP 29,Tag: RFP 30,Tag: RFP 31,Tag: RFP 32,Tag: RFP 33
EXAMPLE_003854,EXAMPLE_003856,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003857,EXAMPLE_003862,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003863,EXAMPLE_003866,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004483,EXAMPLE_004485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003867,EXAMPLE_003871,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003872,EXAMPLE_003874,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004486,EXAMPLE_004486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004487,EXAMPLE_004489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003875,EXAMPLE_003877,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003878,EXAMPLE_003878,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003879,EXAMPLE_003879,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004490,EXAMPLE_004490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004491,EXAMPLE_004492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004493,EXAMPLE_004495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004496,EXAMPLE_004496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003880,EXAMPLE_003880,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003881,EXAMPLE_003881,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003882,EXAMPLE_003883,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003884,EXAMPLE_003885,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003886,EXAMPLE_003888,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003889,EXAMPLE_003889,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003890,EXAMPLE_003891,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003892,EXAMPLE_003895,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003896,EXAMPLE_003896,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003897,EXAMPLE_003897,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003898,EXAMPLE_003901,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003902,EXAMPLE_003902,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003903,EXAMPLE_003903,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003904,EXAMPLE_003905,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003906,EXAMPLE_003908,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003909,EXAMPLE_003910,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004497,EXAMPLE_004497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003911,EXAMPLE_003911,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003912,EXAMPLE_003912,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003913,EXAMPLE_003913,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003914,EXAMPLE_003917,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003918,EXAMPLE_003918,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,
EXAMPLE_003919,EXAMPLE_003920,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,
EXAMPLE_003921,EXAMPLE_003921,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,
EXAMPLE_003922,EXAMPLE_003923,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,
EXAMPLE_003924,EXAMPLE_003924,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,
EXAMPLE_003925,EXAMPLE_003926,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,
EXAMPLE_003927,EXAMPLE_003927,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004498,EXAMPLE_004498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004499,EXAMPLE_004500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003928,EXAMPLE_003929,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003930,EXAMPLE_003932,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003933,EXAMPLE_003936,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003937,EXAMPLE_003939,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003940,EXAMPLE_003943,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003944,EXAMPLE_003946,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003947,EXAMPLE_003948,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003949,EXAMPLE_003952,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003953,EXAMPLE_003953,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004501,EXAMPLE_004501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003954,EXAMPLE_003954,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003955,EXAMPLE_003955,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,
EXAMPLE_003956,EXAMPLE_003956,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,
EXAMPLE_003957,EXAMPLE_003960,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004502,EXAMPLE_004502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004503,EXAMPLE_004503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003961,EXAMPLE_003962,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003963,EXAMPLE_003964,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003965,EXAMPLE_003967,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003968,EXAMPLE_003971,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003972,EXAMPLE_003972,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003973,EXAMPLE_003974,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003975,EXAMPLE_003975,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003976,EXAMPLE_003976,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003977,EXAMPLE_004015,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004016,EXAMPLE_004017,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004018,EXAMPLE_004018,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004019,EXAMPLE_004057,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004058,EXAMPLE_004059,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004060,EXAMPLE_004060,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004061,EXAMPLE_004062,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004063,EXAMPLE_004063,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004064,EXAMPLE_004102,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004103,EXAMPLE_004104,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004105,EXAMPLE_004105,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004106,EXAMPLE_004107,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004108,EXAMPLE_004109,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004504,EXAMPLE_004504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004110,EXAMPLE_004110,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004111,EXAMPLE_004111,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004112,EXAMPLE_004112,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,
EXAMPLE_004113,EXAMPLE_004115,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004116,EXAMPLE_004116,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004117,EXAMPLE_004117,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004118,EXAMPLE_004119,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004120,EXAMPLE_004121,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004122,EXAMPLE_004124,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004125,EXAMPLE_004126,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004127,EXAMPLE_004127,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004128,EXAMPLE_004130,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004131,EXAMPLE_004134,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004135,EXAMPLE_004135,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004136,EXAMPLE_004136,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004505,EXAMPLE_004505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004137,EXAMPLE_004137,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004138,EXAMPLE_004139,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004140,EXAMPLE_004141,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004142,EXAMPLE_004143,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004144,EXAMPLE_004144,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004145,EXAMPLE_004145,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004146,EXAMPLE_004147,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004148,EXAMPLE_004149,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004150,EXAMPLE_004151,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004152,EXAMPLE_004152,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004153,EXAMPLE_004153,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
EXAMPLE_004154,EXAMPLE_004154,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
EXAMPLE_004155,EXAMPLE_004158,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004506,EXAMPLE_004506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004507,EXAMPLE_004508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004509,EXAMPLE_004509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004510,EXAMPLE_004511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004159,EXAMPLE_004159,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004512,EXAMPLE_004513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004514,EXAMPLE_004515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004233,EXAMPLE_004233,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,
EXAMPLE_004234,EXAMPLE_004234,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,
EXAMPLE_004235,EXAMPLE_004272,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,
EXAMPLE_004160,EXAMPLE_004160,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004161,EXAMPLE_004161,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
EXAMPLE_004162,EXAMPLE_004162,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
EXAMPLE_004163,EXAMPLE_004166,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
EXAMPLE_004273,EXAMPLE_004274,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
EXAMPLE_004275,EXAMPLE_004294,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
EXAMPLE_004295,EXAMPLE_004296,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
EXAMPLE_004297,EXAMPLE_004310,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
EXAMPLE_004311,EXAMPLE_004313,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
EXAMPLE_004314,EXAMPLE_004331,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
EXAMPLE_004332,EXAMPLE_004334,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
EXAMPLE_004335,EXAMPLE_004335,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
EXAMPLE_004336,EXAMPLE_004338,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
EXAMPLE_004339,EXAMPLE_004340,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
EXAMPLE_004516,EXAMPLE_004516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004517,EXAMPLE_004519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004520,EXAMPLE_004521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004522,EXAMPLE_004523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004524,EXAMPLE_004526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004527,EXAMPLE_004529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004530,EXAMPLE_004532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004533,EXAMPLE_004535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004536,EXAMPLE_004537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004538,EXAMPLE_004540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004541,EXAMPLE_004542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004543,EXAMPLE_004544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004545,EXAMPLE_004546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004547,EXAMPLE_004548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004549,EXAMPLE_004551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004552,EXAMPLE_004552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004553,EXAMPLE_004555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004556,EXAMPLE_004559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004341,EXAMPLE_004342,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004343,EXAMPLE_004343,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004344,EXAMPLE_004344,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004167,EXAMPLE_004168,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004169,EXAMPLE_004170,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004345,EXAMPLE_004345,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004346,EXAMPLE_004346,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004347,EXAMPLE_004347,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004348,EXAMPLE_004350,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004351,EXAMPLE_004355,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004356,EXAMPLE_004357,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004358,EXAMPLE_004359,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004360,EXAMPLE_004360,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004361,EXAMPLE_004362,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004363,EXAMPLE_004364,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004365,EXAMPLE_004365,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004366,EXAMPLE_004366,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004367,EXAMPLE_004368,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004369,EXAMPLE_004369,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004370,EXAMPLE_004371,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004372,EXAMPLE_004372,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004373,EXAMPLE_004374,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004375,EXAMPLE_004376,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004377,EXAMPLE_004378,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004379,EXAMPLE_004380,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004381,EXAMPLE_004381,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004382,EXAMPLE_004385,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004386,EXAMPLE_004387,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004388,EXAMPLE_004389,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004390,EXAMPLE_004393,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004394,EXAMPLE_004397,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004398,EXAMPLE_004400,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004401,EXAMPLE_004403,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004404,EXAMPLE_004404,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004405,EXAMPLE_004407,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004408,EXAMPLE_004409,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004171,EXAMPLE_004171,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004410,EXAMPLE_004411,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004412,EXAMPLE_004414,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004415,EXAMPLE_004415,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004416,EXAMPLE_004417,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004418,EXAMPLE_004418,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
