Begin Bates num from PRODUCTION,End Bates num from PRODUCTION,Tag: RFP 4,Tag: RFP 5,Tag: RFP 9,Tag: RFP 14,Tag: RFP 15,Tag: RFP 17,Tag: RFP 19,Tag: RFP 22,Tag: RFP 25,Tag: RFP 31,Tag: RFP 32,Tag: RFP 34,Tag: RFP 35,Tag: RFP 36,Tag: RFP 37,Tag: RFP 39,Tag: RFP 45,Tag: RFP 52,Tag: RFP 54,Tag: RFP 55,Tag: RFP 56
EXAMPLE_005854,EXAMPLE_005854,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005855,EXAMPLE_005855,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005856,EXAMPLE_005856,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005857,EXAMPLE_005857,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005858,EXAMPLE_005858,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005859,EXAMPLE_005859,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005860,EXAMPLE_005860,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005861,EXAMPLE_005861,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005862,EXAMPLE_005862,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005863,EXAMPLE_005863,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005864,EXAMPLE_005864,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005865,EXAMPLE_005865,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005866,EXAMPLE_005866,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005867,EXAMPLE_005867,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005868,EXAMPLE_005868,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005869,EXAMPLE_005869,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005870,EXAMPLE_005870,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005871,EXAMPLE_005871,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005872,EXAMPLE_005872,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005873,EXAMPLE_005873,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005874,EXAMPLE_005874,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005875,EXAMPLE_005875,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005876,EXAMPLE_005876,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005877,EXAMPLE_005877,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005878,EXAMPLE_005878,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005879,EXAMPLE_005879,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005880,EXAMPLE_005880,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005881,EXAMPLE_005881,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005882,EXAMPLE_005882,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005883,EXAMPLE_005883,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005884,EXAMPLE_005884,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005885,EXAMPLE_005885,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005886,EXAMPLE_005886,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005887,EXAMPLE_005887,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005888,EXAMPLE_005888,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005889,EXAMPLE_005890,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005891,EXAMPLE_005891,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005892,EXAMPLE_005892,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005893,EXAMPLE_005893,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005894,EXAMPLE_005894,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005895,EXAMPLE_005895,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005896,EXAMPLE_005896,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005897,EXAMPLE_005897,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005898,EXAMPLE_005898,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005899,EXAMPLE_005899,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005900,EXAMPLE_005900,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005901,EXAMPLE_005901,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005902,EXAMPLE_005902,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005903,EXAMPLE_005903,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005904,EXAMPLE_005904,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005905,EXAMPLE_005905,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005906,EXAMPLE_005906,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005907,EXAMPLE_005907,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005908,EXAMPLE_005908,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005909,EXAMPLE_005909,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005910,EXAMPLE_005910,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005911,EXAMPLE_005911,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005912,EXAMPLE_005912,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005913,EXAMPLE_005913,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005914,EXAMPLE_005914,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005915,EXAMPLE_005915,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005916,EXAMPLE_005916,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005917,EXAMPLE_005917,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005918,EXAMPLE_005918,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005919,EXAMPLE_005919,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005920,EXAMPLE_005920,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005921,EXAMPLE_005921,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005922,EXAMPLE_005922,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005923,EXAMPLE_005923,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005924,EXAMPLE_005924,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005925,EXAMPLE_005925,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005926,EXAMPLE_005926,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005927,EXAMPLE_005927,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005928,EXAMPLE_005928,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005929,EXAMPLE_005929,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005930,EXAMPLE_005930,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005931,EXAMPLE_005931,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005932,EXAMPLE_005932,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005933,EXAMPLE_005933,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005934,EXAMPLE_005935,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005936,EXAMPLE_005937,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005938,EXAMPLE_005938,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005939,EXAMPLE_005939,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005940,EXAMPLE_005940,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005941,EXAMPLE_005941,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005942,EXAMPLE_005942,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005943,EXAMPLE_005943,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005944,EXAMPLE_005944,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005945,EXAMPLE_005945,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005946,EXAMPLE_005946,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005947,EXAMPLE_005947,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005948,EXAMPLE_005948,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005949,EXAMPLE_005949,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005950,EXAMPLE_005950,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005951,EXAMPLE_005951,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005952,EXAMPLE_005952,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005953,EXAMPLE_005953,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005954,EXAMPLE_005954,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005955,EXAMPLE_005955,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005956,EXAMPLE_005956,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005957,EXAMPLE_005957,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005958,EXAMPLE_005958,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005959,EXAMPLE_005960,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005961,EXAMPLE_005962,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005963,EXAMPLE_005964,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005965,EXAMPLE_005965,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005966,EXAMPLE_005966,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005967,EXAMPLE_005967,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005968,EXAMPLE_005968,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005969,EXAMPLE_005969,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005970,EXAMPLE_005970,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005971,EXAMPLE_005971,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005972,EXAMPLE_005972,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005973,EXAMPLE_005973,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005974,EXAMPLE_005974,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005975,EXAMPLE_005975,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005976,EXAMPLE_005976,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005977,EXAMPLE_005977,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005978,EXAMPLE_005978,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005979,EXAMPLE_005979,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005980,EXAMPLE_005980,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005981,EXAMPLE_005981,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005982,EXAMPLE_005982,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005983,EXAMPLE_005983,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005984,EXAMPLE_005984,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005985,EXAMPLE_005985,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005986,EXAMPLE_005986,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005987,EXAMPLE_005987,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005988,EXAMPLE_005988,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005989,EXAMPLE_005989,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005990,EXAMPLE_005990,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005991,EXAMPLE_005991,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005992,EXAMPLE_005992,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005993,EXAMPLE_005993,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005994,EXAMPLE_005994,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005995,EXAMPLE_005995,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005996,EXAMPLE_005996,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005997,EXAMPLE_005997,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005998,EXAMPLE_005998,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005999,EXAMPLE_005999,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006000,EXAMPLE_006000,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006001,EXAMPLE_006001,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006002,EXAMPLE_006002,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_008729,EXAMPLE_008729,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_006003,EXAMPLE_006003,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006004,EXAMPLE_006004,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006005,EXAMPLE_006005,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006006,EXAMPLE_006006,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006007,EXAMPLE_006008,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006009,EXAMPLE_006009,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006010,EXAMPLE_006010,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006011,EXAMPLE_006011,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006012,EXAMPLE_006012,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006013,EXAMPLE_006013,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006014,EXAMPLE_006014,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006015,EXAMPLE_006015,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006016,EXAMPLE_006016,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006017,EXAMPLE_006017,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006018,EXAMPLE_006018,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006019,EXAMPLE_006019,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006020,EXAMPLE_006020,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006021,EXAMPLE_006021,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006022,EXAMPLE_006022,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006023,EXAMPLE_006023,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006024,EXAMPLE_006024,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006025,EXAMPLE_006025,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006026,EXAMPLE_006026,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006027,EXAMPLE_006027,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006028,EXAMPLE_006028,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006029,EXAMPLE_006029,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006030,EXAMPLE_006030,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006031,EXAMPLE_006031,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006032,EXAMPLE_006032,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006033,EXAMPLE_006033,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006034,EXAMPLE_006034,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006035,EXAMPLE_006035,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006036,EXAMPLE_006036,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006037,EXAMPLE_006037,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006038,EXAMPLE_006038,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006039,EXAMPLE_006039,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006040,EXAMPLE_006040,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006041,EXAMPLE_006041,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006042,EXAMPLE_006042,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006043,EXAMPLE_006043,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006044,EXAMPLE_006044,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006045,EXAMPLE_006045,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006046,EXAMPLE_006046,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006047,EXAMPLE_006047,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006048,EXAMPLE_006048,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006049,EXAMPLE_006049,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006050,EXAMPLE_006051,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006052,EXAMPLE_006052,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006053,EXAMPLE_006053,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006054,EXAMPLE_006054,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006055,EXAMPLE_006055,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006056,EXAMPLE_006056,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006057,EXAMPLE_006058,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006059,EXAMPLE_006059,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006060,EXAMPLE_006061,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006062,EXAMPLE_006063,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006064,EXAMPLE_006065,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006066,EXAMPLE_006066,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006067,EXAMPLE_006067,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006068,EXAMPLE_006069,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006070,EXAMPLE_006070,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006071,EXAMPLE_006072,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006073,EXAMPLE_006074,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006075,EXAMPLE_006075,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006076,EXAMPLE_006077,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006078,EXAMPLE_006078,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006079,EXAMPLE_006079,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006080,EXAMPLE_006081,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006082,EXAMPLE_006083,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006084,EXAMPLE_006085,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006086,EXAMPLE_006086,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006087,EXAMPLE_006087,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006088,EXAMPLE_006088,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006089,EXAMPLE_006090,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006091,EXAMPLE_006091,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006092,EXAMPLE_006096,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006097,EXAMPLE_006097,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006098,EXAMPLE_006099,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006100,EXAMPLE_006100,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006101,EXAMPLE_006101,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006102,EXAMPLE_006103,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006104,EXAMPLE_006105,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006106,EXAMPLE_006106,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006107,EXAMPLE_006107,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006108,EXAMPLE_006109,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006110,EXAMPLE_006111,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006112,EXAMPLE_006112,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006113,EXAMPLE_006113,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006114,EXAMPLE_006114,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006115,EXAMPLE_006116,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006117,EXAMPLE_006117,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006118,EXAMPLE_006119,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006120,EXAMPLE_006121,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006122,EXAMPLE_006122,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006123,EXAMPLE_006124,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006125,EXAMPLE_006125,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006126,EXAMPLE_006126,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006127,EXAMPLE_006127,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006128,EXAMPLE_006128,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006129,EXAMPLE_006129,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006130,EXAMPLE_006130,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006131,EXAMPLE_006131,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006132,EXAMPLE_006132,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006133,EXAMPLE_006133,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006134,EXAMPLE_006134,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006135,EXAMPLE_006135,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006136,EXAMPLE_006136,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006137,EXAMPLE_006137,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006138,EXAMPLE_006138,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006139,EXAMPLE_006139,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006140,EXAMPLE_006140,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006141,EXAMPLE_006141,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006142,EXAMPLE_006142,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_006143,EXAMPLE_006143,,,,,,,,,,,,,TRUE,,,,,,,,
